date,open,close,high,low,volume,code
2010-01-04,172.0,169.94,172.0,169.31,44304.88,600519
2010-01-05,170.99,169.44,171.5,169.0,31513.18,600519
2010-01-06,168.99,166.76,169.5,166.31,39889.03,600519
2010-01-07,166.76,163.72,167.19,161.88,48825.55,600519
2010-01-08,164.0,162.0,164.0,160.1,36702.09,600519
2010-01-11,163.6,161.29,164.9,160.5,24461.03,600519
2010-01-12,161.45,165.65,166.17,160.61,31063.4,600519
2010-01-13,163.99,161.44,165.15,161.0,37924.44,600519
2010-01-14,162.0,168.54,169.2,162.0,46454.64,600519
2010-01-15,168.51,169.87,173.38,168.51,45938.5,600519
2010-01-18,170.0,170.98,172.26,169.9,21461.53,600519
2010-01-19,170.99,169.77,171.5,169.5,17818.91,600519
2010-01-20,169.91,165.92,170.15,165.8,20972.95,600519
2010-01-21,165.86,166.73,168.38,165.5,17257.48,600519
2010-01-22,166.6,164.13,167.29,161.89,25432.94,600519
2010-01-25,163.85,166.04,167.3,162.51,23239.15,600519
2010-01-26,168.27,166.7,170.17,164.6,32889.16,600519
2010-01-27,166.03,163.98,167.78,163.6,19316.57,600519
2010-01-28,163.86,169.2,170.35,163.5,30267.52,600519
2010-01-29,169.95,168.54,170.2,167.68,37172.82,600519
2010-02-01,168.88,168.89,169.58,167.01,29655.94,600519
2010-02-02,168.0,166.52,170.0,166.29,15493.53,600519
2010-02-03,166.21,165.93,168.1,164.2,23034.65,600519
2010-02-04,165.9,168.6,169.25,165.13,22475.33,600519
2010-02-05,167.61,171.25,171.88,167.0,26234.3,600519
2010-02-08,171.25,171.23,175.6,170.52,31496.1,600519
2010-02-09,172.0,171.11,173.33,170.53,14151.24,600519
2010-02-10,172.0,171.83,172.59,170.7,6398.14,600519
2010-02-11,171.8,173.38,174.44,171.6,14945.05,600519
2010-02-12,173.97,173.09,174.2,172.2,9346.4,600519
2010-02-22,173.0,169.08,173.1,169.07,12178.08,600519
2010-02-23,169.25,166.75,170.5,164.7,23562.13,600519
2010-02-24,166.76,167.92,168.6,165.5,9904.27,600519
2010-02-25,166.9,168.25,170.0,166.9,15313.96,600519
2010-02-26,168.98,166.84,168.98,166.6,10338.58,600519
2010-03-01,166.45,166.24,167.45,165.99,21734.74,600519
2010-03-02,166.61,165.6,166.79,164.9,17182.23,600519
2010-03-03,165.99,165.66,166.24,164.93,14232.86,600519
2010-03-04,166.02,165.14,166.85,164.0,14168.97,600519
2010-03-05,165.15,164.41,165.45,164.28,9770.55,600519
2010-03-08,164.48,163.18,164.98,162.8,23259.44,600519
2010-03-09,163.2,163.17,163.7,162.7,12340.97,600519
2010-03-10,163.27,163.66,163.7,162.9,11814.06,600519
2010-03-11,163.86,163.01,164.45,162.58,13518.56,600519
2010-03-12,163.02,161.92,163.67,161.59,12192.27,600519
2010-03-15,161.91,158.7,161.91,157.9,15808.51,600519
2010-03-16,158.7,158.94,159.65,157.9,7764.13,600519
2010-03-17,158.98,160.51,160.58,158.9,18710.93,600519
2010-03-18,160.58,158.41,161.37,157.75,14726.62,600519
2010-03-19,158.88,158.76,159.34,158.0,13361.63,600519
2010-03-22,159.24,158.0,159.6,157.68,23008.46,600519
2010-03-23,157.81,157.28,158.48,156.92,18329.9,600519
2010-03-24,157.58,159.15,159.78,157.55,20175.66,600519
2010-03-25,158.9,157.9,158.9,157.8,9813.6,600519
2010-03-26,158.17,159.66,160.88,158.08,20527.37,600519
2010-03-29,159.7,161.72,161.97,159.01,31475.43,600519
2010-03-30,161.76,160.01,161.96,159.5,19012.1,600519
2010-03-31,159.97,158.76,161.62,158.5,14905.16,600519
2010-04-01,158.78,160.06,160.5,158.76,23980.83,600519
2010-04-02,158.0,152.63,158.0,151.6,154281.7,600519
2010-04-06,151.9,151.84,152.99,151.3,53122.91,600519
2010-04-07,151.87,152.13,152.85,151.22,41061.08,600519
2010-04-08,152.16,150.51,152.17,150.0,32921.19,600519
2010-04-09,150.01,149.14,150.6,147.79,54418.18,600519
2010-04-12,149.2,147.29,149.78,146.78,38514.23,600519
2010-04-13,147.4,149.88,150.99,146.9,54305.27,600519
2010-04-14,150.87,150.52,150.87,148.26,46368.44,600519
2010-04-15,150.65,147.48,150.65,147.0,40617.3,600519
2010-04-16,147.47,147.98,149.51,146.8,29395.56,600519
2010-04-19,148.01,146.16,149.55,145.85,41332.19,600519
2010-04-20,146.0,143.52,146.0,140.12,49387.23,600519
2010-04-21,143.5,148.02,148.21,141.71,63365.87,600519
2010-04-22,147.35,148.56,149.25,146.03,37063.95,600519
2010-04-23,148.0,143.83,149.6,143.1,66686.94,600519
2010-04-26,139.0,136.93,139.58,136.9,107036.13,600519
2010-04-27,136.89,132.95,136.89,132.7,58234.48,600519
2010-04-28,132.0,132.13,133.4,131.0,26287.43,600519
2010-04-29,132.56,134.25,135.26,132.56,34501.2,600519
2010-04-30,131.43,129.03,131.43,127.75,85566.7,600519
2010-05-04,127.99,128.64,129.56,126.89,23975.16,600519
2010-05-05,127.8,130.79,131.24,127.3,33838.78,600519
2010-05-06,131.0,127.35,131.0,127.3,28240.34,600519
2010-05-07,126.0,130.01,130.37,125.5,31254.76,600519
2010-05-10,132.0,133.54,136.0,132.0,66192.58,600519
2010-05-11,135.59,133.66,136.0,132.83,33632.41,600519
2010-05-12,133.29,133.18,134.0,130.0,21643.19,600519
2010-05-13,133.23,134.87,135.7,133.23,27049.54,600519
2010-05-14,134.88,134.95,136.11,134.0,18126.16,600519
